src/bgame/bg_misctables.cpp	392	_WORD*	pStruct	54	108	*((_WORD *)pStruct + 54) = ia;
src/bgame/bg_misctables.cpp	410	_WORD*	pStruct	176	352	*((_WORD *)pStruct + 176) = ib;
src/bgame/bg_misctables.cpp	428	unsigned int*	pStruct	1863	7452	*((unsigned int *)pStruct + 1863) = ic;
src/bgame/bg_misctables.cpp	456	unsigned int*	pStruct	1797	7188	*((unsigned int *)pStruct + 1797) = 2;
src/bgame/bg_misctables.cpp	461	unsigned int*	pStruct	1797	7188	*((unsigned int *)pStruct + 1797) = 1;
src/bgame/bg_misctables.cpp	485	_WORD*	pStruct	32	64	*((_WORD *)pStruct + 32) = i;
src/bgame/bg_weapons.cpp	3790	_BYTE**	weapVariantDef->szXAnims	7	28	if ( **((_BYTE **)weapVariantDef->szXAnims + 7) )
src/cgame/cg_compass.cpp	2929	unsigned int*	color	2	8	v47 = *((unsigned int *)color + 2);
src/cgame/cg_compass.cpp	3020	float*	&v13	1	4	*((float *)&v13 + 1) = v14 - (float)(tapeAngleStretch * 0.5);
src/cgame/cg_compass.cpp	3023	float*	&v13	1	4	*((float *)&v13 + 1),
src/cgame/cg_drawtools.cpp	680	unsigned int*	color	3	12	savedAlpha = *((unsigned int *)color + 3);
src/cgame/cg_drawtools.cpp	702	unsigned int*	color	3	12	*((unsigned int *)color + 3) = savedAlpha;
src/cgame/cg_draw_indicators.cpp	454	float*	&v2	1	4	*((float *)&v2 + 1) = v5;
src/cgame/cg_draw_indicators.cpp	456	float*	&v2	1	4	*((float *)&v2 + 1) = 0.1f;
src/cgame/cg_draw_indicators.cpp	457	float*	&v2	1	4	color[3] = *((float *)&v2 + 1);
src/cgame/cg_event.cpp	1528	_BYTE**	weaponVariantDef->szXAnims	40	160	if (isPlayerView && ((ps->eFlags & 0x300) != 0 || !**((_BYTE **)weaponVariantDef->szXAnims + 40)))
src/cgame/cg_event.cpp	1536	_BYTE**	weaponVariantDef->szXAnims	41	164	if (isPlayerView && ((ps->eFlags & 0x300) != 0 || !**((_BYTE **)weaponVariantDef->szXAnims + 41)))
src/cgame/cg_spawn.cpp	333	_QWORD*	&cent->nextState.lerp.u.createDynEnt	2	16	*((_QWORD *)&cent->nextState.lerp.u.createDynEnt + 2) = 0;
